,movie,year,imdb,metascore,votes,us_grossMillions,timeMin
451,Dogville,2003,8.0,60.0,146698,1.53,178
452,The Sting,1973,8.3,83.0,257070,159.6,129
453,North by Northwest,1959,8.3,98.0,320983,13.28,136
454,Boyz n the Hood,1991,7.8,76.0,137634,57.5,112
455,How to Train Your Dragon 2,2014,7.8,77.0,326781,177.0,102
456,Metropolis,1927,8.3,98.0,171226,1.24,153
457,Lion,2016,8.0,69.0,231663,51.74,118
458,Ordinary People,1980,7.7,86.0,51325,54.8,124
459,Creed,2015,7.6,82.0,266694,109.77,133
460,Lethal Weapon,1987,7.6,68.0,253608,65.21,109
461,Toy Story 2,1999,7.9,88.0,564881,245.85,92
462,Changeling,2008,7.8,63.0,252219,35.74,141
463,Wreck-It Ralph,2012,7.7,72.0,410735,189.42,101
464,King Kong,1933,7.9,90.0,84350,10.0,100
465,In the Name of the Father,1993,8.1,84.0,171097,25.01,133
466,Demon Slayer the Movie: Mugen Train,2020,8.2,72.0,51701,47.7,117
467,The Road Warrior,1981,7.6,77.0,177226,12.47,96
468,The Bourne Supremacy,2004,7.7,73.0,456528,176.24,108
469,The Bourne Ultimatum,2007,8.0,85.0,626736,227.47,115
470,Brazil,1985,7.9,84.0,198350,9.93,132
471,The Skin I Live In,2011,7.6,70.0,149833,3.19,120
472,The Fall,2006,7.8,64.0,111368,2.28,117
473,Captain Phillips,2013,7.8,82.0,450085,107.1,134
474,First Blood,1982,7.7,61.0,245552,47.21,93
475,Finding Neverland,2004,7.7,67.0,204563,51.68,106
476,Naked,1993,7.7,85.0,38660,1.77,131
477,Freaks,1932,7.9,80.0,45683,,64
478,Midnight Cowboy,1969,7.8,79.0,109376,44.79,113
479,The Naked Gun: From the Files of Police Squad!,1988,7.6,76.0,165431,78.76,85
480,Dog Day Afternoon,1975,8.0,86.0,251969,50.0,125
481,Togo,2019,7.9,69.0,46827,,113
482,The Color Purple,1985,7.7,78.0,85203,98.47,154
483,The Others,2001,7.6,74.0,358578,96.52,104
484,Bridge of Spies,2015,7.6,81.0,306055,72.31,142
485,The Raid: Redemption,2011,7.6,73.0,201563,4.11,101
486,Ed Wood,1994,7.8,70.0,173919,5.89,127
487,Barry Lyndon,1975,8.1,89.0,163669,,185
488,The Name of the Rose,1986,7.7,54.0,107480,7.15,130
489,This Is Spinal Tap,1984,7.9,92.0,137766,4.74,82
490,Sunset Blvd.,1950,8.4,,217151,,110
491,The Holy Mountain,1973,7.8,76.0,41901,0.06,114
492,The Philadelphia Story,1940,7.9,96.0,68268,,112
493,Serpico,1973,7.7,87.0,120457,29.8,130
494,Wait Until Dark,1967,7.7,81.0,30216,17.55,108
495,For a Few Dollars More,1965,8.2,74.0,250974,15.0,132
496,Evil Dead II,1987,7.7,72.0,159773,5.92,84
497,Bonnie and Clyde,1967,7.7,86.0,111067,,111
498,Close Encounters of the Third Kind,1977,7.6,90.0,197801,132.09,138
499,My Neighbor Totoro,1988,8.1,86.0,326334,1.11,86
500,Let the Right One In,2008,7.9,82.0,214392,2.12,114
501,Akira,1988,8.0,67.0,180637,0.55,124
502,The Man from Earth,2007,7.9,,184703,,87
503,The Vanishing,1988,7.7,,38163,,107
504,The Wrestler,2008,7.9,80.0,302043,26.24,109
505,A Silent Voice: The Movie,2016,8.1,78.0,74585,,130
506,Stalker,1979,8.1,,131133,0.23,162
507,Rushmore,1998,7.6,86.0,182629,17.11,93
508,Hachi: A Dog's Tale,2009,8.1,,276991,,93
509,La Haine,1995,8.1,,167656,0.31,98
510,Perfect Blue,1997,8.0,,71516,0.78,81
511,Flipped,2010,7.7,45.0,88740,1.75,90
512,The Magnificent Seven,1960,7.7,74.0,93652,4.91,128
513,End of Watch,2012,7.6,68.0,243417,41.0,109
514,The Searchers,1956,7.9,94.0,87793,,119
515,The Nightmare Before Christmas,1993,7.9,82.0,326034,75.08,76
516,Dirty Harry,1971,7.7,87.0,153309,35.9,102
517,Cool Hand Luke,1967,8.1,92.0,174257,16.22,127
518,Before Midnight,2013,7.9,94.0,153800,8.11,109
519,Network,1976,8.1,83.0,156694,,121
520,Enter the Dragon,1973,7.6,83.0,103098,25.0,102
521,All the President's Men,1976,7.9,84.0,113111,70.6,138
522,The Jungle Book,1967,7.6,65.0,178252,141.84,78
523,The Bridge on the River Kwai,1957,8.2,87.0,216728,44.91,161
524,Traffic,2000,7.6,86.0,205406,124.12,147
525,Philadelphia,1993,7.7,66.0,237821,77.32,125
526,The Insider,1999,7.8,84.0,169098,28.97,157
527,Isle of Dogs,2018,7.8,82.0,162782,32.02,101
528,Empire of the Sun,1987,7.7,62.0,123695,22.24,153
529,Butch Cassidy and the Sundance Kid,1969,8.0,66.0,212966,102.31,110
530,"Paris, Texas",1984,8.0,78.0,103426,2.18,145
531,The French Connection,1971,7.7,94.0,120445,15.63,104
532,Roma,2018,7.7,96.0,154361,,135
533,Snow White and the Seven Dwarfs,1937,7.6,95.0,194993,184.93,83
534,My Fair Lady,1964,7.8,95.0,94039,72.0,170
535,Wild Tales,2014,8.1,77.0,193271,3.11,122
536,Do the Right Thing,1989,7.9,93.0,99876,27.55,120
537,M,1931,8.3,,154952,0.03,99
538,127 Hours,2010,7.6,82.0,370503,18.34,94
539,Before Sunset,2004,8.1,90.0,256515,5.82,80
540,Carlito's Way,1993,7.9,65.0,214010,36.95,144
541,Gandhi,1982,8.1,79.0,227581,52.77,191
542,Awakenings,1990,7.8,74.0,137412,52.1,121
543,Chungking Express,1994,8.0,78.0,77077,0.6,102
544,Battle Royale,2000,7.6,81.0,180380,,114
545,Where Eagles Dare,1968,7.6,63.0,57390,,158
546,Doctor Zhivago,1965,7.9,69.0,75588,111.72,197
547,Annie Hall,1977,8.0,92.0,262359,39.2,93
548,The Apartment,1960,8.3,94.0,177780,18.6,125
549,Glory,1989,7.8,78.0,133045,26.83,122
550,Sing Street,2016,7.9,79.0,92055,3.24,106
551,This Is England,2006,7.7,86.0,121162,0.33,101
552,October Sky,1999,7.8,71.0,89389,32.48,108
553,Seven Pounds,2008,7.6,36.0,299492,69.95,123
554,Kung Fu Hustle,2004,7.7,78.0,136536,17.11,99
555,Billy Elliot,2000,7.7,74.0,133438,22.0,110
556,Mississippi Burning,1988,7.8,65.0,98573,34.6,128
557,On the Waterfront,1954,8.1,91.0,152440,9.6,108
558,Roman Holiday,1953,8.0,78.0,136390,,118
559,Hotel Rwanda,2004,8.1,79.0,350560,23.53,121
560,Dawn of the Dead,1978,7.8,71.0,118613,5.1,127
561,Papillon,1973,8.0,58.0,128924,53.27,151
562,Ip Man,2008,8.0,59.0,221116,,106
563,A Separation,2011,8.3,95.0,240846,7.1,123
564,Dancer in the Dark,2000,7.9,61.0,108410,4.18,140
565,A Streetcar Named Desire,1951,7.9,97.0,106582,8.0,122
566,Hara-Kiri,1962,8.6,85.0,53576,,133
567,The Great Beauty,2013,7.7,86.0,89045,2.85,141
568,The Iron Giant,1999,8.0,85.0,187025,23.16,86
569,I Am Sam,2001,7.6,28.0,149011,40.31,132
570,Ponyo,2008,7.6,86.0,139277,15.09,101
571,A Man Called Ove,2015,7.7,70.0,53469,3.36,116
572,The Conversation,1974,7.8,87.0,109524,4.42,113
573,The Right Stuff,1983,7.8,91.0,60664,21.5,193
574,The Seventh Seal,1957,8.1,88.0,181406,,96
575,Sling Blade,1996,8.0,84.0,92918,24.48,135
576,Glengarry Glen Ross,1992,7.7,82.0,103538,10.73,100
577,Barton Fink,1991,7.6,69.0,119752,6.15,116
578,Paths of Glory,1957,8.4,90.0,192869,,88
579,After Hours,1985,7.6,90.0,67621,10.6,97
580,Lucky Number Slevin,2006,7.7,53.0,310247,22.49,110
581,21 Grams,2003,7.7,70.0,234287,16.29,124
582,The Best Offer,2013,7.8,49.0,116921,0.09,131
583,Kramer vs. Kramer,1979,7.8,77.0,143034,106.26,105
584,Fiddler on the Roof,1971,8.0,67.0,43023,80.5,181
585,Happiness,1998,7.7,81.0,69654,2.81,134
586,Witness for the Prosecution,1957,8.4,,121734,8.18,116
587,Amores perros,2000,8.1,83.0,236928,5.38,154
588,Mysterious Skin,2004,7.6,73.0,68958,0.7,105
589,Searching,2018,7.6,71.0,158760,26.02,102
590,The Artist,2011,7.9,89.0,239522,44.67,100
591,Rebecca,1940,8.1,86.0,134832,4.36,130
592,Dangal,2016,8.3,,181857,12.39,161
593,Hamlet,1996,7.8,,37869,4.41,242
594,The Last Emperor,1987,7.7,76.0,101558,43.98,163
595,The Dirty Dozen,1967,7.7,73.0,71858,45.3,150
596,Cinderella Man,2005,8.0,69.0,185095,61.65,144
597,Persona,1966,8.1,86.0,115254,,83
598,Star Trek II: The Wrath of Khan,1982,7.7,67.0,119388,78.91,113
599,Like Stars on Earth,2007,8.3,,188029,1.22,165
600,The Wild Bunch,1969,7.9,97.0,83519,12.06,135
601,The World's Fastest Indian,2005,7.8,68.0,54433,5.13,127
602,Clerks,1994,7.7,70.0,219565,3.15,92
603,Solaris,1972,8.0,90.0,89506,,167
604,Night of the Living Dead,1968,7.8,89.0,125635,0.09,96
605,Ghost in the Shell,1995,7.9,76.0,139942,0.52,83
606,My Left Foot,1989,7.9,97.0,73242,14.74,103
607,A Christmas Story,1983,7.9,77.0,146134,20.61,93
608,The King of Comedy,1982,7.8,73.0,100425,2.5,109
609,Stagecoach,1939,7.8,93.0,48108,,96
610,Rebel Without a Cause,1955,7.7,89.0,89286,,111
611,The Raid 2,2014,7.9,71.0,121487,2.63,150
612,The Bridges of Madison County,1995,7.6,69.0,79817,71.52,135
613,Harvey,1950,7.9,,55219,,104
614,The Great Dictator,1940,8.4,,219678,0.29,125
615,Klaus,2019,8.1,65.0,141231,,96
616,Sabrina,1954,7.6,72.0,63961,,113
617,Days of Heaven,1978,7.8,93.0,57282,,94
618,Ran,1985,8.2,96.0,123043,4.14,162
619,Malcolm X,1992,7.7,73.0,93104,48.17,202
620,The Last King of Scotland,2006,7.7,74.0,184282,17.61,123
621,The Asphalt Jungle,1950,7.8,85.0,26514,,112
622,Charade,1963,7.9,83.0,75621,13.47,113
623,All About Eve,1950,8.2,98.0,129354,0.01,138
624,8½,1963,8.0,91.0,116257,0.05,138
625,Gaslight,1944,7.8,,28166,,114
626,All That Jazz,1979,7.8,72.0,31236,37.82,123
627,Rio Bravo,1959,8.0,93.0,61333,12.54,141
628,Miller's Crossing,1990,7.7,66.0,133739,5.08,115
629,Z,1969,8.2,86.0,28106,0.08,127
630,Batman: Mask of the Phantasm,1993,7.8,,49637,5.62,76
631,Neon Genesis Evangelion: The End of Evangelion,1997,8.0,,51816,,87
632,Kiki's Delivery Service,1989,7.8,83.0,139601,,103
633,50/50,2011,7.6,72.0,326990,35.01,100
634,Wolfwalkers,2020,8.0,87.0,30127,,103
635,Badlands,1973,7.7,93.0,71846,,94
636,Modern Times,1936,8.5,96.0,236704,0.16,87
637,Nausicaä of the Valley of the Wind,1984,8.0,86.0,165889,0.5,117
638,Short Term 12,2013,7.9,82.0,86876,1.01,96
639,Paprika,2006,7.7,81.0,80468,0.88,90
640,Castle in the Sky,1986,8.0,78.0,162643,,125
641,Tumbbad,2018,8.2,,41374,,104
642,Hero,2002,7.9,85.0,179919,53.71,120
643,The Man Who Shot Liberty Valance,1962,8.1,94.0,74784,,123
644,The Hustler,1961,8.0,90.0,80953,8.28,134
645,Mother,2009,7.8,79.0,61880,0.55,129
646,The Third Man,1949,8.1,97.0,169160,0.45,93
647,The Message,1976,8.1,,46911,,177
648,Mommy,2014,8.0,74.0,55838,3.49,139
649,Belle de Jour,1967,7.7,,43736,0.03,100
650,The Wind Rises,2013,7.7,83.0,82969,5.21,126
651,Double Indemnity,1944,8.3,95.0,153982,5.72,107
652,The Day the Earth Stood Still,1951,7.8,,80983,,92
653,Black Book,2006,7.7,71.0,76257,4.4,145
654,Harold and Maude,1971,7.9,62.0,76490,,91
655,Pink Floyd: The Wall,1982,8.0,47.0,80067,22.24,95
656,High Noon,1952,8.0,89.0,102980,9.45,85
657,The Longest Day,1962,7.7,75.0,55132,39.1,178
658,The Straight Story,1999,8.0,86.0,89172,6.2,112
659,What Ever Happened to Baby Jane?,1962,8.0,75.0,54870,4.05,134
660,La Dolce Vita,1960,8.0,95.0,71873,19.52,174
661,Breaking the Waves,1996,7.8,76.0,66114,4.04,159
662,Pride,2014,7.8,79.0,55601,,119
663,"South Park: Bigger, Longer & Uncut",1999,7.7,73.0,202043,52.04,81
664,Me and Earl and the Dying Girl,2015,7.7,74.0,129926,6.74,105
665,Shoplifters,2018,7.9,93.0,73505,3.31,121
666,Dial M for Murder,1954,8.2,75.0,172057,0.01,105
667,Being There,1979,8.0,83.0,71548,30.18,130
668,Anatomy of a Murder,1959,8.0,95.0,65342,11.9,161
669,Miracle in Cell No. 7,2019,8.2,,46797,,132
670,Ray,2004,7.7,73.0,145922,75.33,152
671,Bringing Up Baby,1938,7.8,91.0,60690,,102
672,The Quiet Man,1952,7.7,85.0,38193,10.55,129
673,To Have and Have Not,1944,7.8,90.0,34143,,100
674,Run Lola Run,1998,7.7,77.0,196737,7.27,80
675,United 93,2006,7.6,90.0,105483,31.57,111
676,The Verdict,1982,7.7,77.0,39670,54.0,129
677,Frankenstein,1931,7.8,91.0,70963,,70
678,Rashomon,1950,8.2,98.0,165111,0.1,88
679,Detachment,2011,7.7,52.0,83657,0.07,98
680,Letters from Iwo Jima,2006,7.9,89.0,161067,13.76,141
681,Amour,2012,7.9,94.0,98930,6.74,127
682,The Treasure of the Sierra Madre,1948,8.2,98.0,122868,5.01,126
683,Mary and Max,2009,8.1,,174678,,92
684,25th Hour,2002,7.6,68.0,177157,13.06,135
685,The Killing Fields,1984,7.8,76.0,55019,34.7,141
686,Beasts of No Nation,2015,7.7,79.0,80066,0.08,137
687,Guess Who's Coming to Dinner,1967,7.8,63.0,44641,56.7,108
688,Once,2007,7.8,88.0,115588,9.44,86
689,The Manchurian Candidate,1962,7.9,94.0,74870,,126
690,The Best Years of Our Lives,1946,8.1,93.0,62928,23.65,170
691,Breathless,1960,7.7,,79654,0.34,90
692,Patton,1970,7.9,91.0,100900,61.7,172
693,The Big Sleep,1946,7.9,,84421,6.54,114
694,Infernal Affairs,2002,8.0,75.0,123351,0.17,101
695,The Celebration,1998,8.1,82.0,85789,1.65,105
696,Three Colors: Blue,1993,7.9,85.0,99782,1.32,94
697,All About My Mother,1999,7.8,87.0,95393,8.26,101
698,The White Ribbon,2009,7.8,82.0,72816,2.22,144
699,Who's Afraid of Virginia Woolf?,1966,8.0,75.0,74311,,131
700,Judgment at Nuremberg,1961,8.3,60.0,76095,,179
701,It Happened One Night,1934,8.1,87.0,102007,4.36,105
702,The Leopard,1963,8.0,100.0,25517,,186
703,Rope,1948,7.9,73.0,140595,,80
704,East of Eden,1955,7.8,72.0,44894,,118
705,Open Your Eyes,1997,7.7,,68657,0.37,119
706,Fantasia,1940,7.7,96.0,94492,76.41,125
707,City Lights,1931,8.5,99.0,181212,0.02,87
708,Waking Life,2001,7.7,83.0,63565,2.89,99
709,Whisper of the Heart,1995,7.9,75.0,60365,,111
710,Nebraska,2013,7.7,87.0,117100,17.65,115
711,Good Bye Lenin!,2003,7.7,68.0,144662,4.06,121
712,The Adventures of Robin Hood,1938,7.9,97.0,50539,3.98,102
713,Loving Vincent,2017,7.8,62.0,56701,6.74,94
714,Happy Together,1997,7.7,70.0,28008,0.19,96
715,Wings of Desire,1987,8.0,79.0,69879,3.33,128
716,The Chaser,2008,7.8,64.0,64749,,125
717,A Very Long Engagement,2004,7.6,76.0,73457,6.17,133
718,Talk to Her,2002,7.9,86.0,111239,9.28,112
719,The Grapes of Wrath,1940,8.1,96.0,91420,0.06,129
720,Out of the Past,1947,8.0,,36501,,97
721,From Here to Eternity,1953,7.6,85.0,46443,30.5,118
722,Sardar Udham,2021,8.5,,38950,,164
723,The Taking of Pelham One Two Three,1974,7.6,68.0,30143,2.49,104
724,The Legend of 1900,1998,8.0,58.0,63255,0.26,169
725,Dragon Ball Super: Broly,2018,7.8,59.0,26136,30.71,100
726,High and Low,1963,8.4,,42534,,143
727,Lilya 4-Ever,2002,7.8,82.0,45206,0.18,109
728,In America,2002,7.7,76.0,42908,15.54,105
729,Short Cuts,1993,7.7,79.0,44505,6.11,188
730,The 400 Blows,1959,8.1,,115271,,99
731,Nashville,1975,7.7,96.0,25970,14.82,160
732,Fanny and Alexander,1982,8.1,100.0,63087,4.97,188
733,Zulu,1964,7.7,77.0,38740,,138
734,Notorious,1946,7.9,100.0,99722,10.46,102
735,The Killing,1956,8.0,91.0,88429,,84
736,Hard Boiled,1992,7.7,,49878,,128
737,Andrei Rublev,1966,8.0,,52810,0.1,205
738,Touch of Evil,1958,8.0,99.0,103343,2.24,95
739,Mirror,1975,8.0,80.0,45439,0.18,107
740,Kubo and the Two Strings,2016,7.8,84.0,126826,48.02,101
741,Yojimbo,1961,8.2,93.0,120576,,110
742,Porco Rosso,1992,7.7,83.0,86939,,94
743,The Chorus,2004,7.8,56.0,61294,3.64,97
744,The Man from Nowhere,2010,7.7,,68434,0.01,119
745,Ikiru,1952,8.3,91.0,76527,0.06,143
746,Rififi,1955,8.1,97.0,33719,0.06,118
747,The Cabinet of Dr. Caligari,1920,8.0,,62431,,67
748,Three Colors: Red,1994,8.1,100.0,101336,4.04,99
749,Bicycle Thieves,1948,8.3,,160429,0.33,89
750,Cat on a Hot Tin Roof,1958,8.0,84.0,48788,17.57,108
751,Manhattan,1979,7.9,83.0,138706,45.7,96
752,Perfect Strangers,2016,7.7,,63839,,96
753,Shershaah,2021,8.4,,116515,,135
754,The Day of the Jackal,1973,7.8,80.0,40399,16.06,143
755,Hedwig and the Angry Inch,2001,7.7,85.0,35276,3.03,95
756,The Lion in Winter,1968,7.9,,31189,22.28,134
757,Children of Heaven,1997,8.2,77.0,73342,0.93,89
758,Andhadhun,2018,8.2,,88887,1.37,139
759,The Thin Man,1934,7.9,86.0,29178,,91
760,Philomena,2013,7.6,77.0,99172,37.71,98
761,Fantastic Planet,1973,7.7,73.0,30159,0.19,72
762,Strangers on a Train,1951,7.9,88.0,132035,7.63,101
763,The Bride of Frankenstein,1935,7.8,95.0,47403,4.36,75
764,PK,2014,8.1,,179174,10.62,153
765,Once Were Warriors,1994,7.9,77.0,33851,2.2,102
766,"Aguirre, the Wrath of God",1972,7.9,,56322,,95
767,The African Queen,1951,7.7,91.0,77715,0.54,105
768,Secrets & Lies,1996,8.0,91.0,42567,13.42,136
769,Drishyam,2015,8.2,,79433,0.74,163
770,The Wave,2008,7.6,,107984,,107
771,The Night of the Hunter,1955,8.0,99.0,87957,0.65,92
772,Control,2007,7.7,78.0,64673,0.87,122
773,Invasion of the Body Snatchers,1956,7.7,92.0,48866,,80
774,Wild Strawberries,1957,8.1,88.0,105429,,91
775,All Quiet on the Western Front,1930,8.1,91.0,60748,3.27,152
776,Leviathan,2014,7.6,92.0,52896,1.09,140
777,Hannah and Her Sisters,1986,7.9,90.0,70811,40.08,107
778,Night on Earth,1991,7.7,68.0,59685,2.02,129
779,Three Colors: White,1994,7.6,88.0,72020,1.46,92
780,When Marnie Was There,2014,7.7,72.0,39014,0.77,103
781,Scarface,1932,7.7,87.0,27592,,93
782,Ninja Scroll,1993,7.8,,36938,,94
783,Zindagi Na Milegi Dobara,2011,8.1,,75713,3.11,155
784,The Tale of The Princess Kaguya,2013,8.0,89.0,44982,1.51,137
785,Shadow of a Doubt,1943,7.8,94.0,64486,,108
786,Shine,1996,7.7,87.0,53873,35.81,105
787,The Diving Bell and the Butterfly,2007,8.0,92.0,107039,5.99,112
788,Tokyo Story,1953,8.2,,60152,,136
789,Stalag 17,1953,8.0,84.0,55266,,120
790,The Double Life of Véronique,1991,7.7,86.0,47645,2.0,98
791,Repulsion,1965,7.6,91.0,52535,,105
792,3-Iron,2004,7.9,72.0,54491,0.24,88
793,Cowboy Bebop: The Movie,2001,7.8,61.0,47773,1.0,115
794,The Sacrifice,1986,7.9,,27718,0.3,149
795,The Red Shoes,1948,8.1,,34326,10.9,135
796,The Battle of Algiers,1966,8.1,96.0,58926,0.06,121
797,Elite Squad,2007,8.0,33.0,102737,0.01,115
798,Underground,1995,8.1,79.0,57951,0.17,167
799,Mr. Smith Goes to Washington,1939,8.1,73.0,114131,9.6,129
800,A Prophet,2009,7.8,90.0,97819,2.08,155
801,Le Samouraï,1967,8.0,,50394,0.04,101
802,The Station Agent,2003,7.6,81.0,70062,5.74,89
803,Cape Fear,1962,7.7,76.0,28789,,106
804,Song of the Sea,2014,8.0,85.0,57254,0.86,93
805,Frost/Nixon,2008,7.7,80.0,107319,18.59,122
806,Persepolis,2007,8.0,90.0,93623,4.45,96
807,The Experiment,2001,7.7,60.0,93386,0.14,120
808,Sleuth,1972,8.0,,47293,4.08,138
809,The Sea Inside,2004,8.0,74.0,81127,2.09,126
810,The Conformist,1970,7.9,100.0,29872,0.54,113
811,The Motorcycle Diaries,2004,7.8,75.0,100516,16.76,126
812,Pather Panchali,1955,8.3,,31259,0.54,125
813,Confessions,2010,7.7,,38540,,106
814,The Little Prince,2015,7.7,70.0,61152,1.34,108
815,Laura,1944,7.9,,46694,4.36,88
816,"I, Daniel Blake",2016,7.8,78.0,58997,0.26,100
817,The Man Who Would Be King,1975,7.8,91.0,48339,,129
818,Peeping Tom,1960,7.6,,34727,0.08,101
819,Head-On,2004,7.9,78.0,53839,,121
820,Land of Mine,2015,7.8,75.0,40272,0.44,100
821,The Kid,1921,8.3,,124246,5.45,68
822,Adam's Apples,2005,7.7,51.0,50098,0.0,94
823,The General,1926,8.2,,89678,1.03,67
824,In Cold Blood,1967,7.9,89.0,26322,,134
825,Fitzcarraldo,1982,8.0,,34402,,158
826,My Name Is Khan,2010,7.9,50.0,105156,4.02,165
827,The Wages of Fear,1953,8.2,85.0,59923,,131
828,To Be or Not to Be,1942,8.2,86.0,35855,,99
829,Farewell My Concubine,1993,8.1,83.0,28095,5.22,171
830,Ayla: The Daughter of War,2017,8.3,,38781,,125
831,The Salesman,2016,7.7,85.0,59538,2.4,124
832,The 39 Steps,1935,7.6,93.0,56213,,86
833,A Man for All Seasons,1966,7.7,72.0,34194,28.35,120
834,Amarcord,1973,7.9,,43044,0.58,123
835,Soorarai Pottru,2020,8.7,,109809,,153
836,In a Lonely Place,1950,7.9,,30886,,94
837,Kal Ho Naa Ho,2003,7.9,54.0,67968,1.79,186
838,The Invisible Man,1933,7.6,87.0,34292,,71
839,Miracle on 34th Street,1947,7.9,88.0,47322,2.65,96
840,Inherit the Wind,1960,8.1,75.0,29827,,128
841,Nostalghia,1983,8.0,,26517,0.01,125
842,Battleship Potemkin,1925,8.0,97.0,56957,0.05,66
843,His Girl Friday,1940,7.8,,57792,0.3,92
844,The Caine Mutiny,1954,7.7,63.0,27334,21.75,124
845,Dersu Uzala,1975,8.2,,28092,,142
846,Departures,2008,8.0,68.0,51579,1.5,130
847,The Umbrellas of Cherbourg,1964,7.8,86.0,27027,0.03,91
848,After the Wedding,2006,7.7,78.0,34356,0.41,120
849,Cries & Whispers,1972,8.0,,33623,1.74,91
850,Arsenic and Old Lace,1943,7.9,,69980,,118
851,Nobody Knows,2004,8.0,88.0,27417,0.68,141
852,Vikram Vedha,2017,8.2,,36733,,147
853,Wolf Children,2012,8.1,71.0,43733,,117
854,Uri: The Surgical Strike,2019,8.2,,58479,4.19,138
855,Super 30,2019,7.9,,29808,2.27,154
856,"4 Months, 3 Weeks and 2 Days",2007,7.9,97.0,59564,1.19,113
857,The Road,1954,8.0,,62416,,108
858,M.S. Dhoni: The Untold Story,2016,7.9,,53400,1.78,184
859,The Lady Vanishes,1938,7.8,98.0,51747,,96
860,The Passion of Joan of Arc,1928,8.2,,53388,0.02,114
861,Munna Bhai M.B.B.S.,2003,8.1,,80149,,156
862,Red River,1948,7.8,,30801,,133
863,Gully Boy,2019,7.9,65.0,38072,5.57,154
864,Eyes Without a Face,1960,7.6,90.0,30954,0.05,90
865,Throne of Blood,1957,8.1,,51328,,110
866,Kagemusha,1980,7.9,84.0,35233,,162
867,The Discreet Charm of the Bourgeoisie,1972,7.8,93.0,42345,0.2,102
868,Taste of Cherry,1997,7.7,80.0,29855,0.31,95
869,Diabolique,1955,8.1,,65153,1.09,117
870,Key Largo,1948,7.7,,40253,,100
871,Ivan's Childhood,1962,8.0,,35791,,95
872,L'Avventura,1960,7.8,,29296,,144
873,Brief Encounter,1945,8.0,92.0,39555,,86
874,Mildred Pierce,1945,8.0,88.0,25472,,111
875,Crimes and Misdemeanors,1989,7.8,77.0,57548,18.25,104
876,The Virgin Spring,1960,8.1,,28889,1.53,89
877,The Hidden Fortress,1958,8.1,89.0,38387,,126
878,"Black Cat, White Cat",1998,8.0,73.0,53292,0.35,127
879,The Odd Couple,1968,7.6,86.0,34498,44.53,105
880,Evil,2003,7.7,61.0,38035,0.02,113
881,Sweet Smell of Success,1957,8.0,100.0,31342,,96
882,Lagaan: Once Upon a Time in India,2001,8.1,84.0,111891,0.07,224
883,You Can't Take It with You,1938,7.8,,25466,4.66,126
884,The Lunchbox,2013,7.8,76.0,55157,4.23,104
885,The Innocents,1961,7.8,88.0,29850,2.62,100
886,The Lost Weekend,1945,7.9,,36505,9.46,101
887,Dreams,1990,7.7,,26082,1.96,119
888,My Sassy Girl,2001,8.0,,47713,,137
889,"Spring, Summer, Fall, Winter... and Spring",2003,8.0,85.0,82031,2.38,103
890,The Triplets of Belleville,2003,7.7,91.0,54073,7.0,80
891,Down by Law,1986,7.7,75.0,51064,1.44,107
892,Nights of Cabiria,1957,8.1,,48209,0.75,110
893,Vivre Sa Vie,1962,7.9,,31110,,85
894,Article 15,2019,8.2,,32353,,130
895,The Gold Rush,1925,8.2,,109527,5.45,95
896,Gangs of Wasseypur,2012,8.2,89.0,93536,,321
897,The Killer,1989,7.8,82.0,47930,,111
898,Winter Sleep,2014,8.1,88.0,51011,0.17,196
899,The Girl Who Leapt Through Time,2006,7.7,,65083,,98
900,The Purple Rose of Cairo,1985,7.7,75.0,51095,10.63,82
901,Tokyo Godfathers,2003,7.8,73.0,38710,0.13,92
902,The Postman,1994,7.7,81.0,36069,21.85,108
903,Jules and Jim,1962,7.7,97.0,40868,,105
904,Joint Security Area,2000,7.8,58.0,29483,,110
905,C.R.A.Z.Y.,2005,7.9,81.0,32703,,129
906,My Father and My Son,2005,8.2,,85450,,112
907,"Goodbye, Children",1987,8.0,88.0,33445,4.54,104
908,Hiroshima Mon Amour,1959,7.9,,31408,0.09,90
909,The Broken Circle Breakdown,2012,7.7,70.0,40939,0.18,111
910,The Exterminating Angel,1962,8.0,,32718,,95
911,White Heat,1949,8.1,,32385,,114
912,Raise the Red Lantern,1991,8.1,,32144,2.6,125
913,Darbareye Elly,2009,7.9,87.0,52722,0.11,119
914,Sunrise,1927,8.1,,50555,0.54,94
915,Celda 211,2009,7.6,,67048,,113
916,Autumn Sonata,1978,8.1,,33597,,99
917,Nine Queens,2000,7.9,80.0,52393,1.22,114
918,Ace in the Hole,1951,8.1,72.0,35279,3.97,111
919,Once Upon a Time in Anatolia,2011,7.8,82.0,45826,0.14,157
920,Millennium Actress,2001,7.8,70.0,27155,0.19,87
921,The Magdalene Sisters,2002,7.7,83.0,27081,4.89,114
922,Time of the Gypsies,1988,8.1,,30351,0.28,142
923,Duck Soup,1933,7.8,93.0,59642,,69
924,The Past,2013,7.7,85.0,48445,1.33,130
925,Badhaai Ho,2018,8.0,,33418,,124
926,The Big Heat,1953,7.9,,26397,,89
927,G.O.R.A.,2004,8.0,,61754,,127
928,Kind Hearts and Coronets,1949,8.0,,36956,,106
929,Knockin' on Heaven's Door,1997,7.9,,29961,0.0,87
930,No Man's Land,2001,7.9,84.0,46787,1.06,98
931,Barfi!,2012,8.1,,80608,2.8,151
