,movie,year,imdb,metascore,votes,us_grossMillions,timeMin
103,Harry Potter and the Prisoner of Azkaban,2004,7.9,82.0,612468,249.36,142
104,Baby Driver,2017,7.6,86.0,509995,107.83,113
105,There Will Be Blood,2007,8.2,93.0,568243,40.22,158
106,Get Out,2017,7.7,85.0,558870,176.04,104
107,Little Miss Sunshine,2006,7.8,80.0,469147,59.89,101
108,The Father,2020,8.3,88.0,133448,,97
109,The Princess Bride,1987,8.0,77.0,420235,30.86,98
110,Deadpool 2,2018,7.7,66.0,551056,324.59,119
111,Blade Runner,1982,8.1,84.0,747134,32.87,117
112,The Grand Budapest Hotel,2014,8.1,88.0,778802,59.1,99
113,Office Space,1999,7.7,68.0,260129,10.82,89
114,Braveheart,1995,8.4,68.0,1015117,75.6,178
115,The Avengers,2012,8.0,69.0,1350758,623.28,143
116,Hot Fuzz,2007,7.8,81.0,494968,23.64,121
117,Watchmen,2009,7.6,56.0,540454,107.51,162
118,Hacksaw Ridge,2016,8.1,71.0,499818,67.21,139
119,"The Good, the Bad and the Ugly",1966,8.8,90.0,740773,6.1,178
120,Platoon,1986,8.1,92.0,405842,138.53,120
121,Iron Man,2008,7.9,79.0,1023635,318.41,126
122,Apocalypto,2006,7.8,68.0,307287,50.87,139
123,12 Angry Men,1957,9.0,96.0,761491,4.36,96
124,The Usual Suspects,1995,8.5,77.0,1058671,23.34,106
125,The Big Short,2015,7.8,81.0,414500,70.26,130
126,Almost Famous,2000,7.9,90.0,271745,32.53,122
127,A Clockwork Orange,1971,8.3,77.0,808213,6.21,136
128,The Big Lebowski,1998,8.1,71.0,788864,17.5,117
129,Rogue One: A Star Wars Story,2016,7.8,65.0,603785,532.18,133
130,The Irishman,2019,7.8,94.0,370632,7.0,209
131,The Godfather: Part II,1974,9.0,90.0,1227311,57.3,202
132,The Perks of Being a Wallflower,2012,8.0,67.0,497087,17.74,103
133,Drive,2011,7.8,78.0,616380,35.06,100
134,The Hangover,2009,7.7,73.0,765813,277.32,100
135,Argo,2012,7.7,86.0,604818,136.03,120
136,Star Wars: Episode VII - The Force Awakens,2015,7.8,80.0,907284,936.66,138
137,Harry Potter and the Deathly Hallows: Part 1,2010,7.7,65.0,529625,295.98,146
138,The Hunt,2012,8.3,77.0,318513,0.69,115
139,Snatch,2000,8.3,55.0,834993,30.33,102
140,One Flew Over the Cuckoo's Nest,1975,8.7,84.0,981095,112.0,133
141,Hamilton,2020,8.4,90.0,86252,,160
142,Ferris Bueller's Day Off,1986,7.8,61.0,347331,70.14,103
143,Memento,2000,8.4,80.0,1204788,25.54,113
144,The Sixth Sense,1999,8.2,64.0,967068,293.51,107
145,Arrival,2016,7.9,81.0,667599,100.55,116
146,Aliens,1986,8.4,84.0,698085,85.16,137
147,Oldboy,2003,8.4,77.0,560494,0.71,101
148,Pan's Labyrinth,2006,8.2,98.0,655025,37.63,118
149,The Handmaiden,2016,8.1,84.0,137801,2.01,145
150,Die Hard,1988,8.2,72.0,855661,83.01,132
151,Black Swan,2010,8.0,79.0,744669,106.95,108
152,Logan,2017,8.1,77.0,725882,226.28,137
153,Wind River,2017,7.7,73.0,242307,33.8,107
154,V for Vendetta,2005,8.2,62.0,1097041,70.51,132
155,Scarface,1983,8.3,65.0,808653,45.6,170
156,The Hobbit: An Unexpected Journey,2012,7.8,58.0,802424,303.0,169
157,Spirited Away,2001,8.6,96.0,729357,10.06,125
158,Moana,2016,7.6,81.0,319326,248.76,107
159,Love Actually,2003,7.6,55.0,473919,59.7,135
160,Indiana Jones and the Raiders of the Lost Ark,1981,8.4,85.0,941689,248.16,115
161,E.T. the Extra-Terrestrial,1982,7.9,91.0,397938,435.11,115
162,Zootopia,2016,8.0,78.0,480177,341.27,108
163,A Few Good Men,1992,7.7,62.0,255760,141.34,138
164,The Girl with the Dragon Tattoo,2011,7.8,71.0,454586,102.52,158
165,Coraline,2009,7.7,80.0,218630,75.29,100
166,What's Eating Gilbert Grape,1993,7.7,73.0,231670,9.17,118
167,Memories of Murder,2003,8.1,82.0,172021,0.01,132
168,A Beautiful Mind,2001,8.2,72.0,908416,170.74,135
169,Zodiac,2007,7.7,78.0,522474,33.08,157
170,Another Round,2020,7.7,79.0,141789,,117
171,City of God,2002,8.6,79.0,739778,7.56,130
172,The Fifth Element,1997,7.6,52.0,462637,63.54,126
173,Dead Poets Society,1989,8.1,79.0,470446,95.86,128
174,About Time,2013,7.8,55.0,336400,15.32,123
175,Ocean's Eleven,2001,7.7,74.0,556971,183.42,116
176,Star Wars: Episode III - Revenge of the Sith,2005,7.6,68.0,761768,380.26,140
177,300,2006,7.6,52.0,801345,210.61,117
178,Willy Wonka & the Chocolate Factory,1971,7.8,67.0,195973,4.0,100
179,Guardians of the Galaxy Vol. 2,2017,7.6,67.0,646880,389.81,136
180,Captain America: Civil War,2016,7.8,75.0,750207,408.08,147
181,The Blind Side,2009,7.6,53.0,322987,255.96,129
182,Skyfall,2012,7.8,81.0,683712,304.36,143
183,Once Upon a Time in America,1984,8.3,75.0,341950,5.32,229
